"Name","Team","G","PA","HR","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","OPS","HR/FB","wRC","wRAA","WPA","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","UBR","Pull%","Oppo%","EV","LA","Barrel%","maxEV","HardHit%","Events","CSW%","xBA","xSLG","playerid","mlbamid"
"Shohei Ohtani","LAA","135","599","44","15.2%","23.9%",".350",".342",".304",".412",".654",".433",".428","180","3.4","60.6","-14.5","6.6","1.066","31.2%","130","57.3","4.13","30.0%","69.2%","48.2%","50.4%","81.2%","71.0%","46.5%","1.7","38.9%","24.9%","94.4","13.2","19.3%","118.6","53.3%","362","26.5%",".294",".634","19755","660271"
"Ronald Acuna Jr.","ATL","159","735","41","10.9%","11.4%",".258",".338",".337",".416",".596",".428",".463","170","7.6","71.7","-13.6","8.3","1.012","24.0%","156","66.7","6.87","22.7%","69.2%","46.2%","67.6%","87.9%","83.0%","50.6%","2.2","39.7%","24.7%","94.7","7.4","15.3%","121.2","55.0%","562","21.4%",".356",".660","18401","660670"
"Aaron Judge","NYY","106","458","37","19.2%","28.4%",".346",".300",".267",".406",".613",".420",".468","174","1.0","41.9","-4.0","5.3","1.019","30.8%","95","38.8","3.09","18.0%","66.6%","41.3%","30.9%","76.9%","66.5%","48.0%","0.3","45.0%","20.8%","97.6","20.4","27.5%","116.9","64.2%","240","29.8%",".291",".721","15640","592450"
"Corey Seager","TEX","119","536","33","9.1%","16.4%",".296",".340",".327",".390",".623",".419",".413","169","-5.4","38.8","4.1","6.1","1.013","21.0%","110","44.6","4.42","29.9%","80.3%","55.2%","44.6%","89.1%","77.0%","50.1%","-4.4","41.5%","24.1%","93.3","13.0","15.2%","114.4","53.2%","395","20.0%",".312",".608","13624","608369"
"Mookie Betts","LAD","152","693","39","13.9%","15.4%",".272",".316",".307",".408",".579",".416",".411","167","3.5","60.8","-1.6","8.3",".987","16.7%","141","56.5","5.21","17.9%","58.4%","38.1%","56.6%","93.7%","84.9%","49.8%","2.3","46.3%","18.3%","92.4","20.6","12.5%","110.1","48.1%","482","26.2%",".295",".565","13611","605141"
"Yordan Alvarez","HOU","114","496","31","13.9%","18.5%",".290",".306",".293",".407",".583",".415",".440","170","-2.6","38.9","-10.7","4.5",".990","21.2%","100","40.0","4.72","27.8%","62.2%","43.7%","62.9%","88.1%","79.5%","46.1%","-2.7","39.1%","27.6%","93.3","17.1","18.0%","117.7","52.2%","322","25.1%",".299",".625","19556","670541"
"Matt Olson","ATL","162","720","54","14.4%","23.2%",".321",".302",".283",".389",".604",".413",".394","160","1.5","55.4","-12.6","6.7",".993","27.8%","144","56.4","4.45","25.9%","70.5%","46.8%","64.1%","79.1%","74.6%","46.8%","2.3","38.2%","24.5%","93.7","16.1","16.4%","118.6","55.1%","445","24.9%",".263",".561","14344","621566"
"Freddie Freeman","LAD","161","730","29","9.9%","16.6%",".235",".370",".331",".410",".567",".411",".409","163","5.1","61.8","-7.5","7.9",".976","15.0%","145","55.9","4.49","27.0%","75.5%","51.0%","66.2%","87.0%","81.4%","49.5%","1.4","36.5%","27.8%","90.0","15.2","11.1%","110.6","41.8%","521","20.8%",".320",".564","5361","518692"
"Yandy Diaz","TBR","137","600","22","10.8%","15.7%",".192",".367",".330",".410",".522",".402",".381","164","-7.0","39.1","-12.1","4.7",".932","17.7%","115","41.5","4.60","19.2%","64.3%","42.6%","58.9%","89.8%","83.1%","51.7%","-2.2","31.4%","27.5%","93.4","5.7","9.5%","114.5","54.0%","433","25.1%",".301",".479","16578","650490"
"Nolan Jones","COL","106","424","20","12.5%","29.7%",".245",".401",".297",".389",".542",".395",".360","135","3.0","21.4","1.2","3.7",".931","22.2%","79","27.0","2.53","25.9%","56.4%","41.5%","60.1%","75.1%","70.6%","51.2%","-0.3","37.6%","30.6%","90.1","9.8","15.7%","115.3","40.9%","242","32.0%",".247",".492","20529","666134"
"Juan Soto","SDP","162","708","35","18.6%","18.2%",".245",".296",".275",".410",".519",".395",".408","155","-4.3","44.0","-12.6","5.5",".930","24.5%","131","45.0","3.71","17.2%","56.1%","35.7%","59.4%","89.5%","81.9%","47.6%","-2.6","38.9%","20.7%","93.2","6.7","13.0%","115.3","55.3%","445","26.1%",".281",".535","20123","665742"
"Jose Altuve","HOU","90","410","17","10.7%","17.3%",".211",".348",".311",".393",".522",".393",".336","154","-0.7","26.0","0.4","4.0",".915","18.3%","75","25.4","2.07","30.8%","61.0%","44.7%","71.8%","89.5%","82.9%","46.1%","-0.7","50.7%","17.2%","86.0","11.4","8.3%","109.6","31.4%","290","25.6%",".248",".424","5417","514888"
"Royce Lewis","MIN","58","239","15","8.4%","23.0%",".240",".354",".309",".372",".548",".393",".349","155","0.1","15.7","0.5","2.4",".921","21.1%","44","14.8","1.69","26.9%","67.5%","47.5%","51.7%","86.0%","76.4%","50.6%","0.1","42.0%","24.7%","90.2","16.2","11.7%","114.0","41.4%","162","29.4%",".264",".476","20437","668904"
"Bryce Harper","PHI","126","546","21","14.7%","21.8%",".206",".352",".293",".401",".499",".384",".397","142","-2.5","26.0","-11.5","3.3",".900","20.4%","96","29.9","5.77","34.3%","75.2%","51.2%","48.3%","82.0%","68.7%","41.2%","-2.3","37.4%","25.4%","91.8","9.1","15.2%","115.7","46.8%","342","25.1%",".287",".522","11579","547180"
"Marcell Ozuna","ATL","144","592","40","9.6%","22.6%",".285",".293",".274",".346",".558",".381",".400","139","-0.4","28.2","-15.6","3.3",".905","24.7%","103","30.8","2.26","30.0%","67.6%","48.4%","53.6%","84.7%","74.9%","49.0%","-0.2","43.2%","28.1%","91.8","15.6","16.6%","115.3","49.0%","398","26.6%",".284",".583","10324","542303"
"Matt Wallner","MIN","76","254","14","11.0%","31.5%",".258",".328",".249",".370",".507",".377",".376","144","1.6","14.8","-4.5","1.9",".877","22.2%","43","12.4","0.53","25.6%","69.1%","47.1%","51.1%","73.1%","67.1%","49.5%","1.1","48.9%","27.1%","91.9","21.0","18.8%","116.4","48.1%","133","27.7%",".233",".516","26466","670242"
"Mitch Garver","TEX","87","344","19","12.8%","23.8%",".230",".313",".270",".370",".500",".374",".363","138","-1.4","14.2","-4.7","2.1",".870","18.4%","58","16.0","1.47","17.6%","60.2%","39.6%","56.6%","85.8%","79.5%","51.5%","-0.7","49.1%","17.3%","90.0","20.5","12.6%","113.2","41.4%","215","27.5%",".252",".486","15161","641598"
"Kyle Tucker","HOU","157","674","29","11.9%","13.6%",".233",".289",".284",".369",".517",".372",".387","140","6.8","38.9","-12.3","4.9",".886","13.9%","112","30.0","4.66","22.1%","69.4%","46.9%","62.7%","89.6%","83.6%","52.3%","4.4","44.9%","22.2%","90.2","14.8","10.4%","110.1","44.5%","499","20.8%",".288",".528","18345","663656"
"Corbin Carroll","ARI","155","645","25","8.8%","19.4%",".221",".325",".285",".362",".506",".370",".346","133","15.8","42.3","-4.2","6.0",".868","15.4%","106","27.8","5.19","28.4%","63.3%","45.5%","62.9%","88.6%","80.5%","49.2%","6.0","42.7%","24.2%","90.0","11.0","7.6%","113.8","40.9%","450","25.7%",".269",".440","25878","682998"
"Matt McLain","CIN","89","403","16","7.7%","28.5%",".216",".385",".290",".357",".507",".370",".332","128","0.8","14.9","3.9","3.2",".864","17.4%","66","17.4","0.91","25.6%","56.7%","41.8%","54.6%","83.0%","74.7%","52.1%","0.1","34.8%","27.6%","89.3","13.8","10.8%","109.9","42.0%","250","32.6%",".255",".435","29695","680574"
"Cody Bellinger","CHC","130","556","26","7.2%","15.6%",".218",".319",".307",".356",".525",".370",".331","134","2.7","26.3","-4.1","4.1",".881","14.1%","92","23.9","2.46","30.9%","66.4%","49.9%","64.8%","87.9%","81.2%","53.5%","1.5","43.6%","19.1%","87.9","17.2","6.1%","109.2","31.4%","424","25.9%",".270",".437","15998","641355"
"Will Benson","CIN","108","329","11","12.2%","31.3%",".223",".391",".275",".365",".498",".369",".323","128","1.9","13.1","-7.3","1.7",".863","15.1%","54","13.9","0.13","19.4%","65.7%","42.7%","43.9%","77.9%","70.2%","50.3%","-1.3","35.7%","19.5%","90.2","14.6","10.3%","108.1","41.1%","185","29.1%",".230",".398","21853","666181"
"J.D. Martinez","LAD","113","479","33","7.1%","31.1%",".301",".324",".271",".321",".572",".369",".370","135","-3.6","17.2","-11.9","2.2",".893","27.0%","79","20.3","1.83","33.1%","73.0%","53.0%","37.0%","81.4%","67.5%","50.0%","-2.9","38.4%","24.3%","93.4","16.8","17.0%","112.1","54.8%","294","30.3%",".269",".551","6184","502110"
"Brandon Belt","TOR","103","404","19","15.1%","34.9%",".236",".370",".254",".369",".490",".369",".337","138","-0.6","17.9","-8.4","2.3",".858","20.2%","66","17.0","0.29","18.8%","64.3%","40.8%","45.1%","78.7%","70.7%","48.3%","-0.9","42.5%","29.5%","88.7","19.8","15.0%","109.9","39.5%","200","29.2%",".211",".437","10264","474832"
"Luis Arraez","MIA","147","617","10","5.7%","5.5%",".115",".362",".354",".393",".469",".369",".353","132","-2.6","21.9","-8.5","3.4",".861","6.5%","101","25.9","0.65","32.9%","66.5%","50.8%","90.3%","94.8%","93.4%","53.4%","0.3","29.6%","31.3%","88.3","11.5","3.5%","104.0","25.2%","544","20.0%",".325",".453","18568","650333"
"Ryan Jeffers","MIN","96","335","14","9.9%","27.8%",".213",".359",".276",".369",".490",".369",".334","138","-1.8","13.4","2.3","2.7",".858","17.1%","55","14.1","0.46","31.3%","60.7%","45.2%","58.0%","82.4%","73.5%","47.3%","-0.9","42.2%","27.6%","90.5","17.2","11.6%","117.4","42.7%","199","29.9%",".232",".432","24618","680777"
"Nelson Velazquez","- - -","53","179","17","7.8%","28.5%",".352",".221",".235",".302",".586",".369",".378","132","0.2","7.2","-5.9","0.7",".888","32.1%","29","7.5","0.36","29.8%","71.4%","50.0%","42.6%","79.1%","67.9%","48.6%","0.6","49.1%","24.1%","91.0","14.4","21.4%","111.4","48.2%","112","29.6%",".256",".579","23359","676369"
"Wilmer Flores","SFG","126","454","23","9.0%","13.9%",".225",".286",".284",".355",".509",".368",".336","136","-2.4","17.6","-8.4","2.5",".863","14.3%","74","18.7","1.12","28.1%","62.1%","44.9%","74.9%","89.4%","84.8%","49.4%","-0.8","46.1%","25.5%","86.4","22.0","7.8%","108.7","32.5%","345","26.9%",".256",".437","5827","527038"
"Mike Trout","LAA","82","362","18","12.4%","28.7%",".227",".335",".263",".367",".490",".368",".388","134","1.8","16.6","0.9","3.0",".858","20.5%","59","14.9","1.64","18.3%","68.2%","44.4%","50.4%","81.5%","75.3%","52.3%","1.2","43.7%","26.7%","91.9","19.3","16.0%","114.3","51.5%","206","25.2%",".272",".521","10155","545361"
"Triston Casas","BOS","132","502","24","13.9%","25.1%",".226",".317",".263",".367",".490",".367",".371","129","-2.1","15.6","-15.1","1.7",".856","18.6%","82","20.4","0.81","21.5%","65.6%","43.7%","53.9%","81.4%","74.7%","50.2%","-2.3","38.7%","20.7%","91.1","15.7","13.1%","113.2","46.2%","305","26.5%",".251",".500","22514","671213"
"Sean Murphy","ATL","108","438","21","11.2%","22.4%",".227",".286",".251",".365",".478",".366",".395","129","-4.9","10.9","16.4","4.2",".844","20.0%","71","17.4","0.19","23.0%","68.1%","45.9%","52.5%","84.1%","76.3%","50.7%","-1.4","50.2%","17.6%","91.5","13.2","15.8%","114.7","44.7%","273","26.3%",".272",".532","19352","669221"
"Edouard Julien","MIN","109","408","16","15.7%","31.4%",".195",".371",".263",".381",".459",".366",".348","136","0.3","17.9","-3.8","2.8",".839","31.4%","66","16.1","0.10","14.8%","59.3%","37.6%","42.4%","80.7%","73.3%","51.2%","0.6","40.7%","28.5%","89.5","8.0","13.1%","108.9","44.9%","214","30.6%",".234",".430","27534","666397"
"Luis Campusano","SDP","49","174","7","4.0%","12.1%",".172",".331",".319",".356",".491",".364",".348","134","-2.2","5.2","-0.3","1.1",".847","13.5%","28","6.6","0.00","37.5%","71.9%","55.2%","67.0%","91.9%","83.7%","51.6%","-0.7","46.9%","18.9%","88.5","13.2","7.7%","107.6","40.6%","143","23.1%",".300",".454","22217","669134"
"Austin Riley","ATL","159","715","37","8.3%","24.1%",".234",".324",".281",".345",".516",".363",".366","127","2.1","25.9","2.2","5.2",".861","19.4%","113","26.3","1.98","27.9%","68.1%","48.1%","53.6%","82.4%","74.1%","50.5%","4.3","41.1%","23.2%","92.3","13.5","13.9%","116.1","48.8%","475","27.4%",".271",".514","18360","663586"
"Isaac Paredes","TBR","143","571","31","10.2%","18.2%",".238",".257",".250",".352",".488",".362",".314","137","-1.0","24.1","-0.2","4.3",".840","16.9%","90","20.8","1.40","28.5%","63.9%","45.7%","67.8%","89.9%","82.8%","48.4%","-1.2","54.5%","18.0%","86.9","22.2","5.9%","107.7","28.3%","389","25.0%",".226",".364","20036","670623"
"Chas McCormick","HOU","115","457","22","8.8%","25.6%",".216",".331",".273",".353",".489",".362",".345","133","1.7","19.7","3.2","3.8",".842","20.4%","72","16.6","3.34","30.1%","67.3%","48.5%","56.0%","81.0%","73.1%","49.4%","-0.6","44.3%","23.2%","88.0","14.6","11.1%","109.4","38.8%","289","27.9%",".248",".462","19599","676801"
"Ketel Marte","ARI","150","650","25","10.9%","16.8%",".209",".300",".276",".358",".485",".361",".342","127","-3.2","18.4","1.7","4.2",".844","14.9%","102","22.9","2.43","24.4%","65.0%","45.4%","59.4%","88.6%","81.0%","51.7%","-1.6","44.1%","21.5%","91.1","10.7","8.0%","117.1","42.8%","465","24.2%",".266",".424","13613","606466"
"Jorge Soler","MIA","137","580","36","11.4%","24.3%",".262",".272",".250",".341",".512",".361",".376","126","-3.7","15.3","-16.4","1.9",".853","21.2%","91","20.4","3.03","25.2%","65.1%","44.1%","54.1%","83.7%","74.8%","47.4%","-0.7","46.3%","18.5%","91.3","17.8","15.0%","114.8","48.0%","367","27.3%",".262",".531","14221","624585"
"Rafael Devers","BOS","153","656","33","9.5%","19.2%",".229",".292",".271",".351",".500",".359",".380","124","-3.8","14.9","-5.8","3.1",".851","18.4%","102","22.2","1.96","33.0%","74.5%","52.5%","68.6%","79.7%","76.0%","46.9%","-2.0","41.1%","24.1%","93.1","12.4","12.7%","115.0","54.7%","457","23.0%",".280",".536","17350","646240"
"J.P. Crawford","SEA","145","638","19","14.7%","19.6%",".172",".314",".266",".380",".438",".359",".339","134","1.6","27.7","-0.1","4.9",".818","12.3%","99","21.5","2.79","18.5%","57.5%","38.5%","63.7%","89.4%","83.4%","51.3%","1.9","43.0%","22.0%","88.3","15.1","4.8%","110.1","36.2%","414","26.0%",".256",".379","15491","641487"
"Brandon Nimmo","NYM","152","682","24","10.9%","21.4%",".193",".324",".274",".363",".466",".359",".355","130","-2.6","22.9","-2.5","4.3",".829","13.6%","106","22.9","1.49","21.4%","60.5%","42.3%","58.1%","87.7%","80.7%","53.4%","-1.1","34.2%","31.9%","91.8","12.2","9.5%","112.0","47.7%","451","28.2%",".264",".453","12927","607043"
"Seiya Suzuki","CHC","138","583","20","10.1%","22.3%",".200",".341",".285",".357",".485",".358",".358","126","-3.4","15.7","-3.6","3.2",".842","14.8%","90","19.4","0.44","19.3%","59.4%","40.9%","64.1%","85.3%","80.7%","54.0%","-1.5","39.8%","22.5%","91.4","10.8","10.5%","114.6","48.0%","392","28.3%",".282",".468","30116","673548"
"Ozzie Albies","ATL","148","660","33","7.0%","16.2%",".233",".289",".280",".336",".513",".358",".342","124","4.4","24.0","-6.0","4.0",".849","15.6%","102","21.9","2.16","36.6%","75.4%","54.6%","66.5%","89.9%","81.5%","46.5%","2.6","54.5%","15.3%","88.7","16.5","8.2%","110.7","38.9%","499","19.9%",".266",".468","16556","645277"
"Brandon Marsh","PHI","133","472","12","12.5%","30.5%",".181",".397",".277",".372",".458",".358",".324","125","3.1","17.5","0.1","3.4",".829","13.5%","73","15.6","1.62","26.6%","58.7%","42.2%","50.4%","87.2%","75.3%","48.7%","1.7","37.4%","30.6%","91.3","12.4","9.1%","110.6","48.7%","265","29.4%",".233",".392","20202","669016"
"Luis Robert","CHW","145","595","38","5.0%","28.9%",".278",".314",".264",".315",".542",".358",".350","128","2.0","22.2","7.6","5.0",".857","23.0%","92","19.6","2.69","38.6%","78.5%","58.3%","44.1%","81.2%","68.7%","49.3%","-0.9","46.8%","22.9%","89.1","16.1","15.2%","113.6","41.7%","381","29.1%",".259",".516","20043","673357"
"D.J. Stewart","NYM","58","185","11","8.1%","30.3%",".263",".298",".244",".333",".506",".358",".340","130","-0.2","6.6","-5.7","0.7",".840","24.4%","29","6.1","0.33","27.4%","74.7%","50.7%","39.4%","76.7%","66.5%","49.2%","-0.5","61.3%","12.3%","89.9","16.5","12.2%","108.8","43.9%","107","27.6%",".230",".461","17766","621466"
"Willson Contreras","STL","125","495","20","10.3%","22.4%",".203",".311",".264",".358",".467",".358",".375","127","-4.4","12.5","-5.0","2.4",".826","19.0%","77","16.3","1.59","30.9%","68.2%","48.5%","49.1%","84.9%","72.8%","47.2%","-2.4","37.8%","26.3%","91.3","10.1","12.2%","117.5","46.3%","320","27.5%",".279",".490","11609","575929"
"William Contreras","MIL","141","611","17","10.3%","20.6%",".169",".348",".289",".367",".457",".357",".336","124","-3.4","15.1","17.9","5.4",".825","14.2%","94","19.7","0.47","24.4%","61.4%","43.2%","53.6%","82.2%","74.2%","50.7%","0.0","34.3%","26.6%","91.3","4.7","9.4%","113.9","48.4%","417","29.8%",".253",".432","20503","661388"
"Zack Gelof","OAK","69","300","14","8.7%","27.3%",".237",".331",".267",".337",".504",".357",".333","133","3.3","15.2","3.5","2.9",".840","22.2%","46","9.6","0.83","28.6%","70.1%","50.3%","47.1%","75.5%","67.8%","52.4%","2.1","46.6%","18.5%","89.8","11.8","11.1%","108.5","40.7%","189","30.3%",".250",".443","29766","680869"
"Spencer Steer","CIN","156","665","23","10.2%","20.9%",".192",".318",".271",".356",".464",".355",".331","118","1.7","16.4","-17.7","2.1",".820","12.0%","101","20.1","0.14","23.9%","62.0%","43.8%","57.0%","85.7%","78.2%","52.2%","0.4","43.6%","24.2%","88.7","15.3","6.7%","110.6","37.1%","447","28.2%",".250",".409","26323","668715"
"Marcus Semien","TEX","162","753","29","9.6%","14.6%",".201",".291",".276",".348",".478",".354",".335","124","2.5","24.3","13.4","6.3",".826","11.0%","114","22.4","0.94","20.9%","71.2%","47.1%","57.0%","90.3%","83.2%","52.2%","1.0","49.4%","20.2%","88.4","19.1","6.5%","108.6","36.8%","566","22.5%",".263",".426","12533","543760"
"Adolis Garcia","TEX","148","632","39","10.3%","27.7%",".263",".280",".245",".328",".508",".354",".367","124","3.5","21.8","5.1","4.8",".836","21.5%","96","18.8","1.14","29.5%","70.0%","48.6%","51.3%","79.2%","70.2%","47.2%","2.8","42.5%","23.1%","92.1","15.7","16.1%","115.1","49.7%","386","28.5%",".249",".523","19287","666969"
"Josh Lowe","TBR","135","501","20","6.2%","24.8%",".208",".357",".292",".335",".500",".354",".342","131","7.0","25.6","-4.4","3.8",".835","14.9%","76","14.8","2.84","35.1%","72.3%","53.3%","54.8%","81.3%","72.4%","49.0%","1.0","31.9%","28.4%","89.1","14.3","11.0%","113.3","39.7%","345","27.3%",".277",".477","19953","666139"
"Jarren Duran","BOS","102","362","8","6.6%","24.9%",".187",".381",".295",".346",".482",".354",".319","120","5.9","14.6","-3.2","2.4",".828","10.0%","55","10.6","1.92","31.4%","70.5%","51.2%","53.2%","89.4%","78.5%","50.7%","1.3","32.0%","29.9%","89.9","10.7","5.3%","112.6","45.7%","245","25.6%",".266",".399","24617","680776"
"Josh Naylor","CLE","121","495","17","6.7%","13.7%",".181",".326",".308",".354",".489",".354",".345","128","-3.7","13.0","-4.8","2.5",".842","11.8%","75","14.5","1.95","41.6%","73.9%","56.5%","69.9%","90.6%","82.4%","46.2%","-2.9","40.2%","24.3%","89.1","12.3","8.2%","113.9","40.9%","391","20.1%",".290",".473","18839","647304"
"Yainer Diaz","HOU","104","377","23","2.9%","19.6%",".256",".292",".282",".308",".538",".354",".365","127","-4.3","7.8","-0.3","2.0",".846","21.9%","57","11.0","-0.83","44.0%","75.5%","58.6%","58.8%","85.3%","74.6%","46.5%","-2.7","42.9%","23.0%","90.3","11.5","12.2%","110.9","43.9%","287","25.7%",".287",".546","23003","673237"
"Christian Yelich","MIL","144","632","19","12.3%","22.2%",".169",".342",".278",".370",".447",".353",".358","122","7.5","24.6","-4.7","4.1",".818","20.2%","95","18.4","1.94","25.1%","66.8%","45.0%","53.3%","85.2%","75.9%","47.7%","6.2","35.3%","29.7%","91.7","3.5","9.3%","113.5","49.9%","411","26.4%",".277",".450","11477","592885"
"T.J. Friedl","CIN","138","556","18","8.5%","16.2%",".189",".308",".279",".352",".467",".353",".290","116","9.1","20.4","4.8","4.4",".819","11.4%","84","15.8","3.67","23.4%","57.6%","41.3%","66.5%","89.7%","83.4%","52.2%","4.1","44.5%","22.0%","86.6","16.1","3.2%","107.1","27.4%","409","27.2%",".240",".321","19522","670770"
"Luke Raley","TBR","118","406","19","6.9%","31.5%",".241",".330",".249",".333",".490",".353",".329","130","3.8","18.4","-5.9","2.6",".824","18.8%","61","11.5","2.25","32.0%","72.4%","51.6%","31.8%","78.4%","63.5%","48.5%","1.6","46.1%","22.0%","91.1","17.3","12.9%","114.3","45.7%","232","30.7%",".225",".439","19354","670042"
"Adley Rutschman","BAL","154","687","20","13.4%","14.7%",".158",".303",".277",".374",".435",".352",".373","127","-3.0","19.3","8.1","5.1",".809","11.8%","103","19.0","2.51","24.5%","58.5%","41.1%","74.3%","91.3%","86.1%","48.7%","0.3","38.4%","29.3%","88.4","12.6","7.5%","111.1","38.4%","492","25.7%",".290",".466","26288","668939"
"Alex Bregman","HOU","161","724","25","12.7%","12.0%",".178",".270",".262",".363",".441",".351",".349","125","-5.1","16.8","2.1","4.3",".804","10.1%","108","19.7","1.65","18.6%","58.9%","38.7%","71.9%","92.3%","87.4%","50.0%","-1.5","42.6%","22.2%","88.6","17.6","5.4%","107.5","38.2%","537","24.4%",".262",".423","17678","608324"
"Christian Walker","ARI","157","661","33","9.4%","19.2%",".239",".272",".258",".333",".497",".351",".342","120","0.6","17.1","-1.2","3.8",".830","15.9%","98","17.9","1.72","26.8%","69.8%","48.6%","50.4%","84.8%","75.4%","50.6%","0.4","42.8%","24.0%","88.0","15.8","11.2%","114.3","40.1%","464","25.8%",".250",".462","13419","572233"
"Paul Goldschmidt","STL","154","687","25","12.7%","23.4%",".179",".327",".268",".363",".447",".350",".367","122","2.6","21.5","-8.2","3.7",".810","15.4%","102","18.1","0.81","25.5%","61.7%","44.0%","63.1%","80.4%","75.5%","51.1%","2.5","33.1%","31.7%","91.3","12.8","11.9%","111.7","50.7%","436","29.4%",".267",".486","9218","502671"
"Kyle Schwarber","PHI","160","720","47","17.5%","29.9%",".277",".209",".197",".343",".474",".350",".365","119","-0.8","16.4","-26.5","1.4",".817","25.5%","107","19.0","1.30","22.6%","53.5%","37.5%","49.6%","79.4%","70.1%","48.4%","-0.8","53.9%","14.8%","92.4","19.0","16.4%","115.2","48.5%","373","31.4%",".219",".485","16478","656941"
"Jared Triolo","PIT","54","209","3","11.5%","30.1%",".099",".440",".298",".388",".398",".350",".323","118","1.8","6.6","3.8","1.7",".785","7.9%","31","5.5","1.44","26.8%","59.7%","43.6%","41.8%","81.3%","69.4%","51.1%","0.4","42.0%","28.6%","86.6","10.6","5.9%","108.1","32.8%","119","31.2%",".250",".372","25807","669707"
"Charlie Blackmon","COL","96","413","8","9.4%","13.3%",".162",".307",".279",".363",".440",".350",".339","105","-1.8","0.6","-6.3","0.8",".803","6.5%","61","10.8","-0.48","29.9%","62.6%","47.3%","67.9%","88.9%","82.7%","53.2%","-0.8","44.2%","20.8%","86.4","18.1","4.9%","108.5","31.5%","308","24.8%",".268",".405","7859","453568"
